timeRec,sineWave
1.716156659802798271e+09,-1.731145520835100926e-01
1.716156659803937435e+09,-1.742364040435841477e-01
1.716156659805054903e+09,-1.753366699528872141e-01
1.716156659806199551e+09,-1.764634701703060859e-01
1.716156659807318211e+09,-1.775644645818544864e-01
1.716156659808461905e+09,-1.786898678858099832e-01
1.716156659809592485e+09,-1.798021381562469878e-01
1.716156659810683489e+09,-1.808752540479887094e-01
1.716156659811815977e+09,-1.819889468625749962e-01
1.716156659812975883e+09,-1.831293608034806064e-01
1.716156659814091682e+09,-1.842261760557102335e-01
1.716156659815223217e+09,-1.853382249711629237e-01
1.716156659816361427e+09,-1.864565952386405823e-01
1.716156659817497015e+09,-1.875721478927271646e-01
1.716156659818606853e+09,-1.886621719204193970e-01
1.716156659819744825e+09,-1.897795857565441613e-01
1.716156659820892334e+09,-1.909061151868571560e-01
1.716156659822031021e+09,-1.920237359220418327e-01
1.716156659823148489e+09,-1.931202879181738441e-01
1.716156659824303389e+09,-1.942533175895561071e-01
1.716156659825405836e+09,-1.953346467515034435e-01
1.716156659826547146e+09,-1.964538435769443980e-01
1.716156659827666759e+09,-1.975515160353731869e-01
1.716156659828798294e+09,-1.986606241953436658e-01
1.716156659829942942e+09,-1.997823266806355302e-01
1.716156659831078768e+09,-2.008951257737520701e-01
1.716156659832215309e+09,-2.020083662018338777e-01
1.716156659833326101e+09,-2.030961331955140059e-01
1.716156659834454775e+09,-2.042011542435205607e-01
1.716156659835585833e+09,-2.053082485558131720e-01
1.716156659836721659e+09,-2.064197458990730816e-01
1.716156659837857962e+09,-2.075314433956994553e-01
1.716156659838983774e+09,-2.086326133762169965e-01
1.716156659840094566e+09,-2.097188326047001727e-01
1.716156659841226816e+09,-2.108257685002974668e-01
1.716156659842376471e+09,-2.119494432873182954e-01
1.716156659843510866e+09,-2.130579295238062831e-01
1.716156659844643116e+09,-2.141640456060072417e-01
1.716156659845782995e+09,-2.152773376461568355e-01
1.716156659846933365e+09,-2.164005918265353434e-01
1.716156659848045111e+09,-2.174858605054935667e-01
1.716156659849172115e+09,-2.185857501991342600e-01
1.716156659850285053e+09,-2.196716391789774458e-01
1.716156659851397276e+09,-2.207565584572200867e-01
1.716156659852542400e+09,-2.218732864751830625e-01
1.716156659853682280e+09,-2.229846104069008461e-01
1.716156659854795694e+09,-2.240698531350306388e-01
1.716156659855972767e+09,-2.252168408495326124e-01
1.716156659857100010e+09,-2.263149801913564296e-01
1.716156659858225822e+09,-2.274114389299221051e-01
1.716156659859343767e+09,-2.284999497804332258e-01
1.716156659860481739e+09,-2.296076671980471773e-01
1.716156659861613989e+09,-2.307095196017527883e-01
1.716156659862733126e+09,-2.317983203843675399e-01
1.716156659863874674e+09,-2.329086259092596478e-01
1.716156659864989281e+09,-2.339924346420465540e-01
1.716156659866118193e+09,-2.350898568932469623e-01
1.716156659867282152e+09,-2.362210353442449062e-01
1.716156659868401051e+09,-2.373081200883374320e-01
1.716156659869514704e+09,-2.383898137547116880e-01
1.716156659870648384e+09,-2.394906561561304936e-01
1.716156659871785164e+09,-2.405941991557866144e-01
1.716156659872923374e+09,-2.416988193421667208e-01
1.716156659874044418e+09,-2.427864739154276807e-01
1.716156659875181198e+09,-2.438890838590322130e-01
1.716156659876317501e+09,-2.449909163268474688e-01
1.716156659877455473e+09,-2.460940500702940847e-01
1.716156659878586054e+09,-2.471897035210838256e-01
1.716156659879702330e+09,-2.482711838064252385e-01
1.716156659880839825e+09,-2.493729036692855505e-01
1.716156659881970167e+09,-2.504673763063482439e-01
1.716156659883084297e+09,-2.515458378029378772e-01
1.716156659884225368e+09,-2.526500544133722936e-01
1.716156659885357857e+09,-2.537456399183409816e-01
1.716156659886494637e+09,-2.548450498255111496e-01
1.716156659887636423e+09,-2.559489704232035256e-01
1.716156659888746738e+09,-2.570221434816440942e-01
1.716156659889880896e+09,-2.581180336946972131e-01
1.716156659891017199e+09,-2.592156643116678150e-01
1.716156659892138720e+09,-2.602986878713359764e-01
1.716156659893270493e+09,-2.613912796055365972e-01
1.716156659894400358e+09,-2.624816960503034702e-01
1.716156659895527840e+09,-2.635694775307012572e-01
1.716156659896646261e+09,-2.646481870933393155e-01
1.716156659897800684e+09,-2.657612723500811236e-01
1.716156659898931742e+09,-2.668514857512941374e-01
1.716156659900044203e+09,-2.679234410585071280e-01
1.716156659901184082e+09,-2.690214722374345557e-01
1.716156659902302504e+09,-2.700984937840200661e-01
1.716156659903437853e+09,-2.711914708722325540e-01
1.716156659904556990e+09,-2.722684984477052317e-01
1.716156659905646801e+09,-2.733169762445811779e-01
1.716156659906779766e+09,-2.744066269331569274e-01
1.716156659907916307e+09,-2.754993632736575937e-01
1.716156659909057379e+09,-2.765960969698787464e-01
1.716156659910183907e+09,-2.776784989600660225e-01
1.716156659911328554e+09,-2.787779500667423305e-01
1.716156659912463903e+09,-2.798681091764348428e-01
1.716156659913613558e+09,-2.809716364084299256e-01
1.716156659914748907e+09,-2.820610680313035967e-01
1.716156659915865183e+09,-2.831318431056427110e-01
1.716156659917001247e+09,-2.842212380621698120e-01
1.716156659918128490e+09,-2.853018113554378066e-01
